Sample held-out episode -- tabular Q-learning (balanced reward), stationary demand
run_id = 49184e016899  |  episode demand seed = eval_seed_base + 0 = 3000000
episode return = $2503.00  service level = 0.981

week  on_hand  order  demand  sales  unmet  inv_pos
   0        1     15       9      9      0       16
   1        8     15       8      8      0       23
   2       11      5      12     12      0       16
   3        9     15       7      7      0       24
   4       14      5      10     10      0       19
   5        6     15      13     13      0       21
   6       13      5       8      8      0       18
   7        8     15      10     10      0       23
   8       15      5       8      8      0       20
   9       12      5       8      8      0       17
  10        5     15      12     12      0       20
  11        0      5      23     20      3        5
  12        0     15      10      5      5       15
  13       10     15       5      5      0       25
  14       19      0       6      6      0       19
  15        6     15      13     13      0       21
  16       16      5       5      5      0       21
  17       11      5      10     10      0       16
  18        6     15      10     10      0       21
  19       10      5      11     11      0       15
  20        4     15      11     11      0       19
  21       10     15       9      9      0       25
  22        7      0      18     18      0        7
  23        0     15       9      7      2       15
  24        1     15      14     14      0       16
  25        6     15      10     10      0       21
  26        9      5      12     12      0       14
  27        8     15       6      6      0       23
  28       11      5      12     12      0       16
  29       10     15       6      6      0       25
  30       14      0      11     11      0       14
  31        9     15       5      5      0       24
  32       12      5      12     12      0       17
  33        7     15      10     10      0       22
  34       14      5       8      8      0       19
  35        9     15      10     10      0       24
  36        9      5      15     15      0       14
  37        7     15       7      7      0       22
  38       12      5      10     10      0       17
  39       10     15       7      7      0       25
  40       14      0      11     11      0       14
  41        2     15      12     12      0       17
  42       11     15       6      6      0       26
  43       19      0       7      7      0       19
  44        9     15      10     10      0       24
  45       15      5       9      9      0       20
  46       12      5       8      8      0       17
  47       12     15       5      5      0       27
  48       14      0      13     13      0       14
  49        4     15      10     10      0       19
  50        0     15      19     19      0       15
  51        8     15       7      7      0       23
